Record ID,Agreement Title,Agreement Type,Agreement Summary,Focus Area,Agreement Signing Link,Partner Institution,Partner Type,Country,City,Partner Website,Partner Logo Link,Start Date,End Date,Implementing Unit,Students Exchanged,Faculty Exchanged,Joint Programs,SDGs,Supports QS Ranking,Supports UI GreenMetric,Latitude,Longitude
7,Tamkeen,Memorandum of Understanding,"Academic partnership focusing on student mobility, faculty exchange, and joint curriculum development.",Community Engagement,https://www.uob.edu.bh/news/agreement-7,Tamkeen,Semi-Government Entity,Bahrain,Manama,https://www.tamkeen.bh,https://cdn.prod.website-files.com/63a327f073bbfd0ed01684d8/63a327f073bbfd4c13168bf6_tamkeen-p-500.png,01/01/2019,31/12/2021,College of Science,7,2,1,,Yes,No,26.2285,50.586
10,UNDP,Joint Research Projects,Partnership aimed at strengthening research collaboration and joint academic initiatives.,Research Collaboration,https://www.uob.edu.bh/news/agreement-10,UNDP,International Organization,Bahrain,Manama,https://www.undp.org,https://www.undp.org/sites/g/files/zskgke326/files/2025-04/undp-logo-blue.4f32e17f.svg,31/12/2021,30/12/2024,Deanship of Graduate Studies,10,5,1,"SDG 5, SDG 6",Yes,Yes,26.2285,50.586
17,Tamkeen,Memorandum of Understanding,"Cooperation to deliver professional training, assessment services, and certification programs.",Research Collaboration,https://www.uob.edu.bh/news/agreement-17,Tamkeen,Semi-Government Entity,Bahrain,Manama,https://www.tamkeen.bh,https://cdn.prod.website-files.com/63a327f073bbfd0ed01684d8/63a327f073bbfd4c13168bf6_tamkeen-p-500.png,01/01/2019,31/12/2022,College of Science,7,2,2,"SDG 9, SDG 11, SDG 16, SDG 17",Yes,Yes,26.2285,50.586
20,UNDP,Memorandum of Understanding,"Collaboration to support research activities, academic exchange, and knowledge transfer.",Innovation & Entrepreneurship,https://www.uob.edu.bh/news/agreement-20,UNDP,International Organization,Bahrain,Manama,https://www.undp.org,https://www.undp.org/sites/g/files/zskgke326/files/2025-04/undp-logo-blue.4f32e17f.svg,31/12/2021,30/12/2025,College of Science,10,5,2,"SDG 5, SDG 7",Yes,Yes,26.2285,50.586
27,Tamkeen,Joint Research Projects,"Strategic cooperation in capacity building, training, and professional development programs.",Innovation & Entrepreneurship,https://www.uob.edu.bh/news/agreement-27,Tamkeen,Semi-Government Entity,Bahrain,Manama,https://www.tamkeen.bh,https://cdn.prod.website-files.com/63a327f073bbfd0ed01684d8/63a327f073bbfd4c13168bf6_tamkeen-p-500.png,01/01/2019,31/12/2023,College of Science,7,2,3,SDG 9,Yes,Yes,26.2285,50.586
30,UNDP,Dual Degree Program,"Joint initiatives to promote innovation, digital skills, and applied learning.",Training & Capacity Building,https://www.uob.edu.bh/news/agreement-30,UNDP,International Organization,Bahrain,Manama,https://www.undp.org,https://www.undp.org/sites/g/files/zskgke326/files/2025-04/undp-logo-blue.4f32e17f.svg,31/12/2021,30/12/2026,Deanship of Graduate Studies,10,5,3,SDG 5,Yes,Yes,26.2285,50.586
8,University of Cairo,Dual Degree Program,"Collaboration to support research activities, academic exchange, and knowledge transfer.","Student Exchange, Faculty Exchange, Joint Academic Programs",https://www.uob.edu.bh/news/agreement-8,University of Cairo,University,Egypt,Cairo,https://cu.edu.eg,https://cu.edu.eg/ar/Images/logo.png,01/01/2020,31/12/2023,College of Engineering,8,3,2,SDG 8,Yes,Yes,30.0444,31.2357
18,University of Cairo,Dual Degree Program,"Joint initiatives to promote innovation, digital skills, and applied learning.",Testing & Assessment,https://www.uob.edu.bh/news/agreement-18,University of Cairo,University,Egypt,Cairo,https://cu.edu.eg,https://cu.edu.eg/ar/Images/logo.png,01/01/2020,30/12/2024,Students Affairs,8,3,3,SDG 8,Yes,Yes,30.0444,31.2357
28,University of Cairo,Dual Degree Program,Partnership aimed at strengthening research collaboration and joint academic initiatives.,Community Engagement,https://www.uob.edu.bh/news/agreement-28,University of Cairo,University,Egypt,Cairo,https://cu.edu.eg,https://cu.edu.eg/ar/Images/logo.png,01/01/2020,31/12/2022,College of Engineering,8,3,1,SDG 8,Yes,Yes,30.0444,31.2357
3,Leipzig University,Memorandum of Understanding,"Strategic cooperation in capacity building, training, and professional development programs.",Research Collaboration,https://www.uob.edu.bh/news/agreement-3,Leipzig University,University,Germany,Leipzig,https://www.uni-leipzig.de,https://www.uni-leipzig.de/fileadmin/Uni_Leipzig/Logos/Uni_Leipzig_Logo.svg,01/01/2020,30/12/2024,College of Engineering,3,3,3,SDG 8,Yes,Yes,51.3397,12.3731
13,Leipzig University,Memorandum of Understanding,"Academic partnership focusing on student mobility, faculty exchange, and joint curriculum development.",Innovation & Entrepreneurship,https://www.uob.edu.bh/news/agreement-13,Leipzig University,University,Germany,Leipzig,https://www.uni-leipzig.de,https://www.uni-leipzig.de/fileadmin/Uni_Leipzig/Logos/Uni_Leipzig_Logo.svg,01/01/2020,31/12/2022,College of Engineering,3,3,1,"SDG 8, SDG 9",Yes,Yes,51.3397,12.3731
23,Leipzig University,Memorandum of Understanding,"Cooperation to deliver professional training, assessment services, and certification programs.",Training & Capacity Building,https://www.uob.edu.bh/news/agreement-23,Leipzig University,University,Germany,Leipzig,https://www.uni-leipzig.de,https://www.uni-leipzig.de/fileadmin/Uni_Leipzig/Logos/Uni_Leipzig_Logo.svg,01/01/2020,31/12/2023,College of Engineering,3,3,2,SDG 8,Yes,Yes,51.3397,12.3731
4,University of Tokyo,Memorandum of Understanding,Partnership aimed at strengthening research collaboration and joint academic initiatives.,Testing & Assessment,https://www.uob.edu.bh/news/agreement-4,University of Tokyo,University,Japan,Tokyo,https://www.u-tokyo.ac.jp,https://www.u-tokyo.ac.jp/content/400020146.png,31/12/2020,31/12/2023,Bahrain Teachers College,4,4,1,SDG 13,Yes,Yes,35.7128,139.7627
14,University of Tokyo,Memorandum of Understanding,"Collaboration to support research activities, academic exchange, and knowledge transfer.",Community Engagement,https://www.uob.edu.bh/news/agreement-14,University of Tokyo,University,Japan,Tokyo,https://www.u-tokyo.ac.jp,https://www.u-tokyo.ac.jp/content/400020146.png,31/12/2020,30/12/2024,Bahrain Teachers College,4,4,2,SDG 13,Yes,Yes,35.7128,139.7627
24,University of Tokyo,Memorandum of Understanding,"Joint initiatives to promote innovation, digital skills, and applied learning.",Research Collaboration,https://www.uob.edu.bh/news/agreement-24,University of Tokyo,University,Japan,Tokyo,https://www.u-tokyo.ac.jp,https://www.u-tokyo.ac.jp/content/400020146.png,31/12/2020,30/12/2025,Bahrain Teachers College,4,4,3,"SDG 1, SDG 13",Yes,Yes,35.7128,139.7627
2,University of Malaya,Memorandum of Understanding,"Collaboration to support research activities, academic exchange, and knowledge transfer.",Training & Capacity Building,https://www.uob.edu.bh/news/agreement-2,University of Malaya,University,Malaysia,Kuala Lumpur,https://www.um.edu.my,https://www.um.edu.my/images/um-logo.png,01/01/2019,31/12/2022,College of Science,2,2,2,SDG 9,Yes,Yes,3.1319,101.6841
